bracelet,case_diameter,case_material,crystal,dial,gender,in_stock,model_number,movement,online_exclusive,price,strap,url,watch_model,water_resistance
stainless steel link bracelet,26,stainless steel,sapphire,black Museum with concave dot,women's,In Stock,0606107,Swiss automatic movement,No,"$1,695.00",,https://www.movado.com/us/en/shop-watches/red-label-0606107.html,Red Label,30 meters
stainless steel link bracelet,34,stainless steel,K1,silver-toned metallic Museum with flat dot,Women's,In Stock,3600647,Swiss quartz movement,No,$550.00,,https://www.movado.com/us/en/shop-watches/movado-bold-evolution-3600647.html,Movado BOLD Evolution,3 ATM
,43,yellow gold ion-plated stainless steel,sapphire,blue with printed index,men's,In Stock,3650006,Swiss quartz chronograph movement,No,$850.00,black leather,https://www.movado.com/us/en/shop-watches/movado-heritage-series-3650006.html,Movado Heritage Series,3 ATM
grey PVD-finished stainless steel link bracelet,42,grey and black PVD-finished stainless steel,sapphire,black with printed index,men's,In Stock,0607226,Swiss quartz movement,No,"$1,295.00",,https://www.movado.com/us/en/shop-watches/museum-sport-0607226.html,Museum Sport,30 meters
yellow gold ion-plated stainless steel mesh bracelet,42,yellow gold ion-plated stainless steel,K1,gold-toned metallic with printed index,men's,In Stock,3600634,Swiss quartz chronograph movement,No,$795.00,,https://www.movado.com/us/en/shop-watches/movado-bold-thin-3600634.html,Movado BOLD Thin,3 ATM
pale gold ion-plated stainless steel link bracelet,42,pale gold ion-plated stainless steel,K1,light gold with printed index,men's,In Stock,3600682,Swiss quartz chronograph movement,No,$895.00,,https://www.movado.com/us/en/shop-watches/movado-bold-evolution-3600682.html,Movado BOLD Evolution,3 ATM
stainless steel mesh bracelet,40,stainless steel,sapphire,black with printed index,men's,In Stock,3650087,Swiss quartz movement,No,$695.00,,https://www.movado.com/us/en/shop-watches/movado-heritage-series-3650087.html,Movado Heritage Series,3 ATM
stainless steel and yellow PVD link bracelet,28,stainless steel and yellow PVD,sapphire,black Museum with concave dot,women's,In Stock,0607053,Swiss quartz movement,No,"$1,195.00",,https://www.movado.com/us/en/shop-watches/esperanza-0607053.html,Esperanza,30 meters
,35,carnation PVD-finished stainless steel,sapphire,white Museum with flat dot,women's,In Stock,0607389,Swiss quartz movement,No,$695.00,beige calfskin,https://www.movado.com/us/en/shop-watches/modern-47-0607389.html,Modern 47,30 meters
yellow gold ion-plated stainless steel link bracelet,32,yellow gold ion-plated stainless steel,K1,gold-toned metallic with Roman index,women's,In Stock,3600591,Swiss quartz movement,No,$650.00,,https://www.movado.com/us/en/shop-watches/movado-bold-luxe-3600591.html,Movado BOLD Luxe,3 ATM
,42.5,yellow gold ion-plated stainless steel,sapphire,gold-toned metallic with printed index,men's,In Stock,3600674,Swiss quartz movement,No,$595.00,green leather,https://www.movado.com/us/en/shop-watches/movado-bold-metals-3600674.html,Movado BOLD Metals,3 ATM
,42,grey ion-plated stainless steel,K1,grey Museum with flat dot,men's,In Stock,3600586,Swiss quartz movement,No,$495.00,blue napa leather,https://www.movado.com/us/en/shop-watches/movado-bold-thin-3600586.html,Movado BOLD Thin,3 ATM
stainless steel link bracelet,,stainless steel,sapphire,black with a single cabochon marker,women's,In Stock,0607188,Swiss quartz movement,No,$995.00,,https://www.movado.com/us/en/shop-watches/la-nouvelle-0607188.html,La Nouvelle,30 meters
stainless steel and yellow PVD link bracelet,42,stainless steel and yellow PVD,sapphire,black Museum with concave dot,men's,In Stock,0607008,Swiss automatic movement,No,"$1,895.00",,https://www.movado.com/us/en/shop-watches/red-label-0607008.html,Red Label,30 meters
pink ceramic link bracelet,36.3,stainless steel and pink ceramic,K1,pink crystal Museum with flat dot,women's,In Stock,3600536,Swiss quartz movement,No,$695.00,,https://www.movado.com/us/en/shop-watches/movado-bold-ceramic-3600536.html,Movado BOLD Ceramic,3 ATM
stainless steel bangle bracelet,24,stainless steel,sapphire,white mother-of-pearl Museum with concave dot,women's,In Stock,0607357,Swiss quartz movement,No,$495.00,,https://www.movado.com/us/en/shop-watches/amorosa-0607357.html,Amorosa,30 meters
,40,stainless steel,sapphire,black with printed index,men's,In Stock,3650004,Swiss quartz movement,No,$595.00,black leather,https://www.movado.com/us/en/shop-watches/movado-heritage-series-3650004.html,Movado Heritage Series,3 ATM
,40,yellow PVD-finished stainless steel,sapphire,blue Museum with flat dot,men's,In Stock,0607254,Swiss quartz movement,No,$695.00,blue calfskin,https://www.movado.com/us/en/shop-watches/modern-47-0607254.html,Modern 47,30 meters
,43,yellow gold ion-plated stainless steel,sapphire,parchment with printed index,men's,In Stock,3650007,Swiss quartz chronograph movement,No,$850.00,brown leather,https://www.movado.com/us/en/shop-watches/movado-heritage-series-3650007.html,Movado Heritage Series,3 ATM
yellow gold ion-plated stainless steel mesh bracelet,43,yellow gold ion-plated stainless steel,sapphire,black with printed index,men's,In Stock,3650098,Swiss quartz chronograph movement,No,$995.00,,https://www.movado.com/us/en/shop-watches/movado-heritage-series-3650098.html,Movado Heritage Series,3 ATM
blue ion-plated stainless steel mesh bracelet,42,blue ion-plated stainless steel,K1,blue with printed index,men's,In Stock,3600633,Swiss quartz chronograph movement,No,$795.00,,https://www.movado.com/us/en/shop-watches/movado-bold-thin-3600633.html,Movado BOLD Thin,3 ATM
grey ion-plated stainless steel link bracelet,32,grey ion-plated stainless steel,K1,grey with Roman index with swarovski pavé,Women's,In Stock,3600636,Swiss quartz movement,No,$695.00,,https://www.movado.com/us/en/shop-watches/movado-bold-luxe-3600636.html,Movado BOLD Luxe,3 ATM
,36,yellow gold ion-plated stainless steel,sapphire,navy with printed index,women's,In Stock,3650010,Swiss Quartz Multifunction Movement,No,$695.00,cognac leather,https://www.movado.com/us/en/shop-watches/movado-heritage-series-3650010.html,Movado Heritage Series,3 ATM
,28,stainless steel,sapphire,black Museum with concave dot,women's,In Stock,0607274,Swiss quartz movement,No,$495.00,black calfskin,https://www.movado.com/us/en/shop-watches/museum-classic-0607274.html,Museum Classic,30 meters
light gold ion-plated stainless steel and beige ceramic link bracelet,36,light gold ion-plated stainless steel,K1,beige Museum with crystal-set dot,women's,In Stock,3600640,Swiss quartz movement,No,$695.00,,https://www.movado.com/us/en/shop-watches/movado-bold-ceramic-3600640.html,Movado BOLD Ceramic,3 ATM
,39.5,yellow PVD-finished stainless steel,sapphire,black with printed index,men's,In Stock,0607455,Swiss automatic movement,No,"$1,195.00",black calfskin,https://www.movado.com/us/en/shop-watches/1881-automatic-0607455.html,1881 Automatic,30 meters
stainless steel link bracelet,28,stainless steel,sapphire,silver mirror with diamonds,women's,In Stock,0606814,Swiss quartz movement,No,"$1,495.00",,https://www.movado.com/us/en/shop-watches/sapphire-0606814.html,Sapphire,30 meters
yellow gold ion-plated stainless steel link bracelet,30,yellow gold ion-plated stainless steel,K1,gold-toned metallic Museum with flat dot,women's,In Stock,3600434,Swiss quartz movement,No,$595.00,,https://www.movado.com/us/en/shop-watches/movado-bold-metals-3600434.html,Movado BOLD Metals,3 ATM
,35.1,brown ion-plated stainless steel,K1,beige Museum with concave dot,women's,In Stock,3640035,Swiss quartz movement,MOVADO.COM EXCLUSIVE,$350.00,beige calfskin,https://www.movado.com/us/en/shop-watches/movado-face-3640035.html,Movado Face,3 ATM
yellow gold ion-plated stainless steel link bracelet,42.5,yellow gold ion-plated stainless steel,K1,gold-toned metallic with crystal museum with flat dot,men's,In Stock,3600665,Swiss quartz movement,No,$895.00,,https://www.movado.com/us/en/shop-watches/movado-bold-metals-3600665.html,Movado BOLD Metals,3 ATM
yellow PVD-finished stainless steel link bracelet,40,black aluminum yellow PVD-finished stainless steel,sapphire,black with printed index,men's,In Stock,2600145,Swiss quartz movement,No,"$1,295.00",,https://www.movado.com/us/en/shop-watches/series-800-2600145.html,Series 800,200 meters
grey ion-plated stainless steel link bracelet,42,grey ion-plated stainless steel,K1,grey with printed index,men's,In Stock,3600685,Swiss quartz chronograph movement,No,$895.00,,https://www.movado.com/us/en/shop-watches/movado-bold-evolution-3600685.html,Movado BOLD Evolution,3 ATM
,40,yellow PVD-finished stainless steel,sapphire,red Museum with flat dot,men's,In Stock,0607253,Swiss quartz movement,No,$695.00,red calfskin,https://www.movado.com/us/en/shop-watches/modern-47-0607253.html,Modern 47,30 meters
,43,yellow gold ion-plated stainless steel,K1,white Museum with concave dot,men's,In Stock,3640043,Swiss quartz chronograph movement,MOVADO.COM EXCLUSIVE,$550.00,grey leather,https://www.movado.com/us/en/shop-watches/movado-face-3640043.html,Movado Face,3 ATM
,42,black ion-plated stainless steel,K1,black with Arabic index,men's,In Stock,3600696,Swiss quartz movement,No,$595.00,black leather,https://www.movado.com/us/en/shop-watches/movado-bold-verso-3600696.html,Movado BOLD Verso,3 ATM
stainless steel link bracelet,30,stainless steel,K1,silver-toned metallic Museum with flat dot,women's,In Stock,3600433,Swiss quartz movement,No,$495.00,,https://www.movado.com/us/en/shop-watches/movado-bold-metals-3600433.html,Movado BOLD Metals,3 ATM
,40,black ion-plated stainless steel,K1,black Museum with flat dot,men's,In Stock,3600524,Swiss quartz movement,No,$495.00,green leather,https://www.movado.com/us/en/shop-watches/movado-bold-evolution-3600524.html,Movado BOLD Evolution,3 ATM
stainless steel link bracelet,38,stainless steel,K1,pink with printed index,women's,In Stock,3640047,Swiss quartz chronograph movement,No,$650.00,,https://www.movado.com/us/en/shop-watches/movado-face-3640047.html,Movado Face,3 ATM
stainless steel mesh bracelet,43,stainless steel,sapphire,black with printed index,men's,In Stock,3650097,Swiss quartz chronograph movement,No,$895.00,,https://www.movado.com/us/en/shop-watches/movado-heritage-series-3650097.html,Movado Heritage Series,3 ATM
,40,black ion-plated stainless steel,K1,black Museum with flat dot,men's,In Stock,3600525,Swiss quartz movement,No,$495.00,red leather,https://www.movado.com/us/en/shop-watches/movado-bold-evolution-3600525.html,Movado BOLD Evolution,3 ATM
,40,grey mid PVD-finished stainless steel,sapphire,navy Museum with flat dot,men's,In Stock,0607392,Swiss quartz movement,No,$695.00,navy calfskin,https://www.movado.com/us/en/shop-watches/modern-47-0607392.html,Modern 47,30 meters
,40,yellow gold ion-plated stainless steel,sapphire,parchment with printed index,men's,In Stock,3650003,Swiss quartz movement,No,$650.00,brown leather,https://www.movado.com/us/en/shop-watches/movado-heritage-series-3650003.html,Movado Heritage Series,3 ATM
stainless steel link bracelet,39,stainless steel,sapphire,silver mirror Museum with concave dot,men's,In Stock,0607178,Swiss quartz movement,No,"$1,895.00",,https://www.movado.com/us/en/shop-watches/sapphire-0607178.html,Sapphire,30 meters
stainless steel with diamonds link bracelet,28,stainless steel,sapphire,silver mirror with diamonds,women's,In Stock,0607193,Swiss quartz movement,No,"$1,995.00",,https://www.movado.com/us/en/shop-watches/sapphire-0607193.html,Sapphire,30 meters
stainless steel with diamonds bangle bracelet,24,stainless steel,sapphire,black Museum with concave dot,women's,In Stock,0607154,Swiss quartz movement,No,$995.00,,https://www.movado.com/us/en/shop-watches/amorosa-0607154.html,Amorosa,30 meters
stainless steel link bracelet,28,stainless steel,sapphire,pink mother-of-pearl Museum with concave dot with diamonds,women's,In Stock,0607322,Swiss quartz movement,No,"$1,295.00",,https://www.movado.com/us/en/shop-watches/kora-0607322.html,Kora,30 meters
,42.3,stainless steel,K1,black with applied markers,men's,In Stock,3600624,Swiss quartz movement,No,$595.00,black silicone,https://www.movado.com/us/en/shop-watches/movado-bold-fusion-3600624.html,Movado BOLD Fusion,3 ATM
,39.5,stainless steel,sapphire,black with printed index,men's,In Stock,0607453,Swiss automatic movement,No,"$1,095.00",black calfskin,https://www.movado.com/us/en/shop-watches/1881-automatic-0607453.html,1881 Automatic,30 meters
,35.1,grey ion-plated stainless steel,K1,grey Museum with concave dot,women's,In Stock,3640013,Swiss quartz movement,No,$350.00,tan leather,https://www.movado.com/us/en/shop-watches/movado-face-3640013.html,Movado Face,3 ATM
blue ion-plated stainless steel mesh bracelet,40,blue ion-plated stainless steel,K1,blue Museum with flat dot,men's,In Stock,3600610,Swiss quartz movement,No,$595.00,,https://www.movado.com/us/en/shop-watches/movado-bold-evolution-3600610.html,Movado BOLD Evolution,3 ATM
,43,stainless steel,sapphire,blue with printed index,men's,In Stock,3650093,Swiss quartz movement,No,$650.00,black leather,https://www.movado.com/us/en/shop-watches/movado-heritage-series-3650093.html,Movado Heritage Series,5 ATM
rose gold ion-plated stainless steel link bracelet,36,rose gold ion-plated stainless steel,K1,pink Museum with flat dot,women's,In Stock,3600086,Swiss quartz movement,No,$695.00,,https://www.movado.com/us/en/shop-watches/movado-bold-metals-3600086.html,Movado BOLD Metals,30 meters
yellow gold ion-plated stainless steel link bracelet,36,yellow gold ion-plated stainless steel,K1,yellow Museum with flat dot,women's,In Stock,3600085,Swiss quartz movement,No,$650.00,,https://www.movado.com/us/en/shop-watches/movado-bold-metals-3600085.html,Movado BOLD Metals,30 meters
,40,black PVD-finished stainless steel,sapphire,blue Museum with flat dot,men's,In Stock,0607428,Swiss quartz movement,No,$695.00,blue calfskin,https://www.movado.com/us/en/shop-watches/modern-47-0607428.html,Modern 47,30 meters
black ion-plated stainless steel link bracelet,40,black ion-plated stainless steel,K1,black unadorned,men's,In Stock,3600677,Swiss quartz movement,No,$795.00,,https://www.movado.com/us/en/shop-watches/movado-bold-evolution-3600677.html,Movado BOLD Evolution,3 ATM
,34,carnation gold ion-plated stainless steel,K1,carnation gold Museum with flat dot,Women's,In Stock,3600643,Swiss quartz movement,No,$450.00,grey leather,https://www.movado.com/us/en/shop-watches/movado-bold-evolution-3600643.html,Movado BOLD Evolution,3 ATM
stainless steel mesh bracelet,41,stainless steel,K1,white Museum with concave dot,men's,In Stock,3640006,Swiss quartz movement,No,$450.00,,https://www.movado.com/us/en/shop-watches/movado-face-3640006.html,Movado Face,3 ATM
,41,grey ion-plated stainless steel,K1,grey Museum with concave dot,men's,In Stock,3640003,Swiss quartz movement,No,$350.00,tan leather,https://www.movado.com/us/en/shop-watches/movado-face-3640003.html,Movado Face,3 ATM
stainless steel link bracelet,38,stainless steel with diamonds,sapphire,black with diamonds,men's,In Stock,0606237,Swiss quartz movement,No,"$3,495.00",,https://www.movado.com/us/en/shop-watches/faceto-0606237.html,Faceto,30 meters
,43,stainless steel,sapphire,white with printed index,men's,In Stock,3650008,Swiss quartz chronograph movement,No,$795.00,cognac leather,https://www.movado.com/us/en/shop-watches/movado-heritage-series-3650008.html,Movado Heritage Series,3 ATM
,40,black PVD-finished stainless steel,sapphire,yellow Museum with flat dot,men's,In Stock,0607427,Swiss quartz movement,No,$695.00,yellow calfskin,https://www.movado.com/us/en/shop-watches/modern-47-0607427.html,Modern 47,30 meters
stainless steel mesh bracelet,28,stainless steel,sapphire,black Museum with concave dot,women's,In Stock,0607220,Swiss quartz movement,No,$795.00,,https://www.movado.com/us/en/shop-watches/museum-classic-0607220.html,Museum Classic,30 meters
stainless steel link bracelet,40,stainless steel,sapphire,black with printed index,men's,In Stock,3650012,Swiss quartz movement,No,$795.00,,https://www.movado.com/us/en/shop-watches/movado-heritage-series-3650012.html,Movado Heritage Series,3 ATM
,42,black ion-plated stainless steel,K1,black with printed index,men's,In Stock,3600632,Swiss quartz chronograph movement,No,$650.00,black Colorado leather,https://www.movado.com/us/en/shop-watches/movado-bold-thin-3600632.html,Movado BOLD Thin,3 ATM
white ceramic link bracelet,36,white ceramic and light gold ion-plated stainless steel,K1,white Museum with flat dot,Women's,In Stock,3600710,Swiss quartz movement,No,$650.00,,https://www.movado.com/us/en/shop-watches/movado-bold-evolution-3600710.html,Movado BOLD Evolution,3 ATM
stainless steel and light yellow PVD link bracelet,28,stainless steel and light yellow PVD with diamonds,sapphire,white mother-of-pearl with printed index,Women's,In Stock,0607326,Swiss quartz movement,No,"$1,595.00",,https://www.movado.com/us/en/shop-watches/kora-0607326.html,Kora,30 meters
pale rose gold ion-plated stainless steel link bracelet,34,pale rose gold ion-plated stainless steel,K1,chocolate Museum with crystal set dot,Women's,In Stock,3600690,Swiss quartz movement,No,$695.00,,https://www.movado.com/us/en/shop-watches/movado-bold-evolution-3600690.html,Movado BOLD Evolution,3 ATM
stainless steel mesh bracelet,28,stainless steel,sapphire,white mother-of-pearl with diamonds,Women's,In Stock,0607491,Swiss quartz movement,No,$995.00,,https://www.movado.com/us/en/shop-watches/museum-classic-0607491.html,Museum Classic,30 meters
,43,grey and black PVD-finished stainless steel,sapphire,blue with printed index,men's,In Stock,0607360,Swiss quartz chronograph movement,No,$995.00,black calfskin,https://www.movado.com/us/en/shop-watches/museum-sport-0607360.html,Museum Sport,30 meters
,40,light yellow gold PVD-finished stainless steel,sapphire,white Museum with flat dot,unisex,In Stock,0607508,Swiss quartz movement,No,$695.00,white calfskin,https://www.movado.com/us/en/shop-watches/modern-47-0607508.html,Modern 47,30 meters
stainless steel link bracelet,39,stainless steel,sapphire,blue with printed index,men's,In Stock,3650056,Swiss quartz movement,No,$795.00,,https://www.movado.com/us/en/shop-watches/movado-heritage-series-3650056.html,Movado Heritage Series,3 ATM
stainless steel link bracelet,40,stainless steel,sapphire,black with diamonds,men's,In Stock,0607201,Swiss quartz movement,No,"$1,195.00",,https://www.movado.com/us/en/shop-watches/museum-classic-0607201.html,Museum Classic,30 meters
stainless steel bangle bracelet,28,stainless steel,K1,blue mother-of-pearl Museum with crystal-set dot,women's,In Stock,3600629,Swiss quartz movement,No,$450.00,,https://www.movado.com/us/en/shop-watches/movado-bold-bangle-3600629.html,Movado BOLD Bangle,3 ATM
stainless steel link bracelet,32,stainless steel,K1,silver white with crystal pavé,Women's,In Stock,3600658,Swiss quartz movement,No,$595.00,,https://www.movado.com/us/en/shop-watches/movado-bold-luxe-3600658.html,Movado BOLD Luxe,3 ATM
stainless steel link bracelet,40,stainless steel,sapphire,black with printed index,men's,In Stock,0607167,Swiss quartz movement,No,$895.00,,https://www.movado.com/us/en/shop-watches/movado-ultra-slim-0607167.html,Movado Ultra Slim,30 meters
,40,black PVD-finished stainless steel,sapphire,red Museum with flat dot,men's,In Stock,0607429,Swiss quartz movement,No,$695.00,red calfskin,https://www.movado.com/us/en/shop-watches/modern-47-0607429.html,Modern 47,30 meters
stainless steel link bracelet,43,stainless steel,sapphire,blue with printed index,men's,In Stock,3650094,Swiss quartz movement,No,$850.00,,https://www.movado.com/us/en/shop-watches/movado-heritage-series-3650094.html,Movado Heritage Series,5 ATM
,43,grey and black PVD-finished stainless steel,sapphire,black with printed index,men's,In Stock,0607476,Swiss quartz chronograph movement,No,$995.00,black calfskin,https://www.movado.com/us/en/shop-watches/museum-sport-0607476.html,Museum Sport,30 meters
blue ion-plated stainless steel link bracelet,40,blue ion-plated stainless steel,K1,blue Museum with flat dot,unisex,In Stock,3600510,Swiss quartz movement,No,$695.00,,https://www.movado.com/us/en/shop-watches/movado-bold-evolution-3600510.html,Movado BOLD Evolution,3 ATM
,40,light yellow gold PVD-finished stainless steel,sapphire,red Museum with flat dot,unisex,In Stock,0607499,Swiss quartz movement,MOVADO.COM EXCLUSIVE,$695.00,red calfskin,https://www.movado.com/us/en/shop-watches/modern-47-0607499.html,Modern 47,30 meters
,35.1,stainless steel,K1,blue Museum with concave dot,women's,In Stock,3640036,Swiss quartz movement,MOVADO.COM EXCLUSIVE,$350.00,navy calfskin,https://www.movado.com/us/en/shop-watches/movado-face-3640036.html,Movado Face,3 ATM
black ion-plated stainless steel mesh bracelet,34,black ion-plated stainless steel,K1,black Museum with crystal set dot,Women's,In Stock,3600714,Swiss quartz movement,No,$650.00,,https://www.movado.com/us/en/shop-watches/movado-bold-evolution-3600714.html,Movado BOLD Evolution,3 ATM
,34,grey ion-plated 2 stainless steel,K1,grey Museum with flat dot,Women's,In Stock,3600644,Swiss quartz movement,MOVADO.COM EXCLUSIVE,$450.00,blue grey leather,https://www.movado.com/us/en/shop-watches/movado-bold-evolution-3600644.html,Movado BOLD Evolution,3 ATM
,42.3,ionic light gold plated steel,K1,black with applied markers,men's,In Stock,3600623,Swiss quartz movement,No,$595.00,black silicone,https://www.movado.com/us/en/shop-watches/movado-bold-fusion-3600623.html,Movado BOLD Fusion,3 ATM
