bracelet,case_diameter,case_material,crystal,dial,gender,in_stock,model_number,movement,online_exclusive,price,strap,url,watch_model,water_resistance
,40,pale rose gold PVD-finished stainless steel,sapphire,pink Museum with flat dot,unisex,In Stock,0607501,Swiss quartz movement,MOVADO.COM EXCLUSIVE,$695.00,pink calfskin,https://www.movado.com/us/en/shop-watches/modern-47-0607501.html,Modern 47,30 meters
stainless steel with diamonds bangle bracelet,25,stainless steel,sapphire,black Museum with concave dot,Women's,In Stock,0607471,Swiss quartz movement,No,$995.00,,https://www.movado.com/us/en/shop-watches/esperanza-0607471.html,Esperanza,30 meters
two-tone stainless steel link bracelet,30,stainless steel,K1,silver-toned metallic Museum with flat dot,women's,In Stock,3600551,Swiss quartz movement,No,$550.00,,https://www.movado.com/us/en/shop-watches/movado-bold-metals-3600551.html,Movado BOLD Metals,3 ATM
,44.5,pale gold ion-plated stainless steel,K1,black with printed index,unisex,In Stock,3600712,Swiss quartz chronograph movement,No,$795.00,black silicone,https://www.movado.com/us/en/shop-watches/movado-bold-fusion-3600712.html,Movado BOLD Fusion,3 ATM
stainless steel and white ceramic link bracelet,36,stainless steel,K1,silver-toned metallic Museum with crystal-set dot,women's,In Stock,3600638,Swiss quartz movement,No,$595.00,,https://www.movado.com/us/en/shop-watches/movado-bold-ceramic-3600638.html,Movado BOLD Ceramic,3 ATM
stainless steel and yellow PVD bangle bracelet,25,stainless steel and yellow PVD,sapphire,black Museum with concave dot,Women's,In Stock,0607472,Swiss quartz movement,No,$695.00,,https://www.movado.com/us/en/shop-watches/esperanza-0607472.html,Esperanza,30 meters
yellow PVD-finished stainless steel mesh bracelet,28,yellow PVD-finished stainless steel,sapphire,white mother-of-pearl Museum with concave dot,women's,In Stock,0607351,Swiss quartz movement,No,$995.00,,https://www.movado.com/us/en/shop-watches/museum-classic-0607351.html,Museum Classic,30 meters
stainless steel mesh bracelet,41,grey ion-plated stainless steel,K1,grey Museum with concave dot,men's,In Stock,3640008,Swiss quartz movement,No,$450.00,,https://www.movado.com/us/en/shop-watches/movado-face-3640008.html,Movado Face,3 ATM
black ceramic link bracelet,36.3,stainless steel and black ceramic,K1,black crystal Museum with flat dot,women's,In Stock,3600535,Swiss quartz movement,No,$695.00,,https://www.movado.com/us/en/shop-watches/movado-bold-ceramic-3600535.html,Movado BOLD Ceramic,3 ATM
stainless steel mesh bracelet,36,stainless steel,sapphire,white mother-of-pearl with printed index,Women's,In Stock,3650104,Swiss Quartz Multifunction Movement,No,$850.00,,https://www.movado.com/us/en/shop-watches/movado-heritage-series-3650104.html,Movado Heritage Series,3 ATM
stainless steel mesh bracelet,40,stainless steel,sapphire,black with diamonds,men's,In Stock,0607511,Swiss quartz movement,No,$995.00,,https://www.movado.com/us/en/shop-watches/museum-classic-0607511.html,Museum Classic,30 meters
two-tone stainless steel link bracelet,34,stainless steel,K1,silver-toned metallic Museum with flat dot,Women's,In Stock,3600651,Swiss quartz movement,No,$595.00,,https://www.movado.com/us/en/shop-watches/movado-bold-evolution-3600651.html,Movado BOLD Evolution,3 ATM
,39,stainless steel,sapphire,blue with printed index,men's,In Stock,3650057,Swiss quartz movement,No,$595.00,cognac leather,https://www.movado.com/us/en/shop-watches/movado-heritage-series-3650057.html,Movado Heritage Series,3 ATM
,43,stainless steel,sapphire,black with printed index,men's,In Stock,3650005,Swiss quartz chronograph movement,No,$795.00,black leather,https://www.movado.com/us/en/shop-watches/movado-heritage-series-3650005.html,Movado Heritage Series,3 ATM
stainless steel and yellow PVD bangle bracelet,24,stainless steel and yellow PVD,sapphire,black Museum with concave dot,women's,In Stock,0607184,Swiss quartz movement,No,$595.00,,https://www.movado.com/us/en/shop-watches/amorosa-0607184.html,Amorosa,30 meters
grey ion-plated stainless steel link bracelet,42.5,grey ion-plated stainless steel,K1,grey with printed index,unisex,In Stock,3600259,Swiss quartz movement,No,$795.00,,https://www.movado.com/us/en/shop-watches/movado-bold-metals-3600259.html,Movado BOLD Metals,3 ATM
,35.1,ionic light gold 2 plated stainless steel,K1,white Museum with concave dot,women's,In Stock,3640010,Swiss quartz movement,No,$350.00,dark navy leather,https://www.movado.com/us/en/shop-watches/movado-face-3640010.html,Movado Face,3 ATM
,40,grey ion-plated stainless steel,K1,grey Museum with flat dot,men's,In Stock,3600507,Swiss quartz movement,No,$495.00,navy leather,https://www.movado.com/us/en/shop-watches/movado-bold-evolution-3600507.html,Movado BOLD Evolution,3 ATM
stainless steel link bracelet,32,stainless steel,K1,silver white with Roman index with swarovski pavé,Women's,In Stock,3600660,Swiss quartz movement,No,$650.00,,https://www.movado.com/us/en/shop-watches/movado-bold-luxe-3600660.html,Movado BOLD Luxe,3 ATM
,40,stainless steel rose gold PVD,sapphire,silver white with printed index,men's,In Stock,0607089,Swiss quartz movement,No,$695.00,brown calfskin,https://www.movado.com/us/en/shop-watches/movado-ultra-slim-0607089.html,Movado Ultra Slim,30 meters
,40,stainless steel,sapphire,yellow Museum with flat dot,men's,In Stock,0607252,Swiss quartz movement,No,$595.00,yellow calfskin,https://www.movado.com/us/en/shop-watches/modern-47-0607252.html,Modern 47,30 meters
white ceramic link bracelet,30.8,stainless steel and white ceramic,K1,white crystal Museum with flat dot,women's,In Stock,3600616,Swiss quartz movement,No,$550.00,,https://www.movado.com/us/en/shop-watches/movado-bold-ceramic-3600616.html,Movado BOLD Ceramic,3 ATM
carnation gold ion-plated stainless steel mesh bracelet,35.1,carnation gold ion-plated stainless steel,K1,pink Museum with concave dot,women's,In Stock,3640016,Swiss quartz movement,No,$450.00,,https://www.movado.com/us/en/shop-watches/movado-face-3640016.html,Movado Face,3 ATM
grey ion-plated stainless steel mesh bracelet,42,grey ion-plated stainless steel,K1,grey Museum with flat dot,men's,In Stock,3600599,Swiss quartz movement,No,$595.00,,https://www.movado.com/us/en/shop-watches/movado-bold-thin-3600599.html,Movado BOLD Thin,3 ATM
,34,khaki ion-plated stainless steel,K1,khaki Museum with flat dot,Women's,In Stock,3600645,Swiss quartz movement,MOVADO.COM EXCLUSIVE,$450.00,vachetta leather,https://www.movado.com/us/en/shop-watches/movado-bold-evolution-3600645.html,Movado BOLD Evolution,3 ATM
,40,stainless steel rose gold PVD,sapphire,black Museum with flat dot,men's,In Stock,0607433,Swiss quartz movement,MOVADO.COM EXCLUSIVE,$695.00,black calfskin,https://www.movado.com/us/en/shop-watches/modern-47-0607433.html,Modern 47,30 meters
,43,black ion-plated stainless steel,K1,black Museum with concave dot,men's,In Stock,3640039,Swiss quartz chronograph movement,MOVADO.COM EXCLUSIVE,$550.00,black leather,https://www.movado.com/us/en/shop-watches/movado-face-3640039.html,Movado Face,3 ATM
stainless steel link bracelet,44.5,stainless steel with tungsten carbide bezel,sapphire,anthracite grey with printed index,men's,In Stock,0606551,Swiss quartz chronograph movement,No,"$2,495.00",,https://www.movado.com/us/en/shop-watches/vizio-0606551.html,Vizio,30 meters
stainless steel bangle bracelet,24,stainless steel,sapphire,black Museum with concave dot,women's,In Stock,0607153,Swiss quartz movement,No,$495.00,,https://www.movado.com/us/en/shop-watches/amorosa-0607153.html,Amorosa,30 meters
,42,black TR90 composite material and stainless steel,K1,black Museum with flat dot,men's,In Stock,3600602,Swiss quartz movement,No,$395.00,red leather,https://www.movado.com/us/en/shop-watches/movado-bold-tr90-3600602.html,Movado BOLD TR90,3 ATM
grey ion-plated stainless steel link bracelet,43,grey ion-plated stainless steel,K1,grey Museum with concave dot,men's,In Stock,3640040,Swiss quartz chronograph movement,MOVADO.COM EXCLUSIVE,$650.00,,https://www.movado.com/us/en/shop-watches/movado-face-3640040.html,Movado Face,3 ATM
gunmetal ion-plated stainless steel mesh bracelet,43,gunmetal ion-plated stainless steel,sapphire,black with printed index,men's,In Stock,3650100,Swiss quartz chronograph movement,MOVADO.COM EXCLUSIVE,$895.00,,https://www.movado.com/us/en/shop-watches/movado-heritage-series-3650100.html,Movado Heritage Series,3 ATM
yellow gold ion-plated stainless steel link bracelet,32,yellow gold ion-plated stainless steel,K1,gold-toned metallic with Roman index with swarovski pavé,Women's,In Stock,3600659,Swiss quartz movement,No,$695.00,,https://www.movado.com/us/en/shop-watches/movado-bold-luxe-3600659.html,Movado BOLD Luxe,3 ATM
,42,stainless steel,Gorilla Glass,,Unisex,In Stock,3660030,Smart module,No,$495.00,navy velcro fabric,https://www.movado.com/us/en/shop-watches/42mm-movado-connect-2.0-3660030.html,42mm Movado Connect 2.0,IPX8 / 1 ATM
light gold 2 ion-plated stainless steel link bracelet,38,light gold 2 ion-plated stainless steel,K1,optic white with printed index,women's,In Stock,3640049,Swiss quartz chronograph movement,No,$650.00,,https://www.movado.com/us/en/shop-watches/movado-face-3640049.html,Movado Face,3 ATM
yellow gold ion-plated stainless steel link bracelet,39,yellow gold ion-plated stainless steel,sapphire,navy with printed index,men's,In Stock,3650105,Swiss quartz movement,No,$895.00,,https://www.movado.com/us/en/shop-watches/movado-heritage-series-3650105.html,Movado Heritage Series,5 ATM
stainless steel and yellow PVD link bracelet,35,stainless steel and yellow PVD,sapphire,white mother-of-pearl with printed index,women's,In Stock,0607171,Swiss quartz movement,No,$995.00,,https://www.movado.com/us/en/shop-watches/movado-ultra-slim-0607171.html,Movado Ultra Slim,30 meters
stainless steel mesh bracelet,40,stainless steel,sapphire,blue Museum with concave dot,men's,In Stock,0607349,Swiss quartz movement,No,$795.00,,https://www.movado.com/us/en/shop-watches/museum-classic-0607349.html,Museum Classic,30 meters
ionic light gold plated steel mesh bracelet,35,ionic light gold plated steel,K1,light gold Museum with flat dot,women's,In Stock,3600598,Swiss quartz movement,No,$595.00,,https://www.movado.com/us/en/shop-watches/movado-bold-thin-3600598.html,Movado BOLD Thin,3 ATM
,35.1,brown ion-plated stainless steel,K1,sand Museum with concave dot,women's,In Stock,3640012,Swiss quartz movement,No,$350.00,beige leather,https://www.movado.com/us/en/shop-watches/movado-face-3640012.html,Movado Face,3 ATM
stainless steel mesh bracelet,34,stainless steel,K1,silver-toned metallic Museum with flat dot,Women's,In Stock,3600655,Swiss quartz movement,No,$595.00,,https://www.movado.com/us/en/shop-watches/movado-bold-shimmer-3600655.html,Movado BOLD Shimmer,3 ATM
stainless steel link bracelet,38,stainless steel,sapphire,black Museum with concave dot,men's,In Stock,0606115,Swiss automatic movement,No,"$1,695.00",,https://www.movado.com/us/en/shop-watches/red-label-0606115.html,Red Label,30 meters
,40,yellow gold ion-plated stainless steel,sapphire,navy with printed index,men's,In Stock,3650028,Swiss quartz movement,No,$650.00,cognac leather,https://www.movado.com/us/en/shop-watches/movado-heritage-series-3650028.html,Movado Heritage Series,3 ATM
,40,stainless steel,Gorilla Glass,,Unisex,In Stock,3660022,Smart module,No,$550.00,black leather,https://www.movado.com/us/en/shop-watches/40mm-movado-connect-2.0-3660022.html,40mm Movado Connect 2.0,IPX8 / 1 ATM
,28,yellow PVD-finished stainless steel,sapphire,black Museum with concave dot,women's,In Stock,0607275,Swiss quartz movement,No,$595.00,black calfskin,https://www.movado.com/us/en/shop-watches/museum-classic-0607275.html,Museum Classic,30 meters
stainless steel mesh bracelet,34,stainless steel,K1,silver-toned metallic Museum with crystal set dot,Women's,In Stock,3600698,Swiss quartz movement,No,$550.00,,https://www.movado.com/us/en/shop-watches/movado-bold-evolution-3600698.html,Movado BOLD Evolution,3 ATM
yellow gold ion-plated stainless steel link bracelet,44,yellow gold ion-plated stainless steel,K1,gold-toned metallic with crystal museum with flat dot,men's,In Stock,3600667,Swiss quartz chronograph movement,No,"$1,095.00",,https://www.movado.com/us/en/shop-watches/movado-bold-metals-3600667.html,Movado BOLD Metals,3 ATM
stainless steel link bracelet,36,stainless steel,K1,silver-toned metallic Museum with flat dot,women's,In Stock,3600084,Swiss quartz movement,No,$550.00,,https://www.movado.com/us/en/shop-watches/movado-bold-metals-3600084.html,Movado BOLD Metals,30 meters
ionic light gold plated stainless steel mesh bracelet,35.1,ionic light gold plated stainless steel,K1,white Museum with concave dot,women's,In Stock,3640015,Swiss quartz movement,No,$450.00,,https://www.movado.com/us/en/shop-watches/movado-face-3640015.html,Movado Face,3 ATM
carnation gold ion-plated stainless steel mesh bracelet,40,carnation gold ion-plated stainless steel,Gorilla Glass,,Unisex,In Stock,3660027,Smart module,No,$695.00,,https://www.movado.com/us/en/shop-watches/40mm-movado-connect-2.0-3660027.html,40mm Movado Connect 2.0,IPX8 / 1 ATM
blue ion-plated stainless steel link bracelet,42.5,blue ion-plated stainless steel,K1,blue with printed index,men's,In Stock,3600296,Swiss quartz movement,No,$795.00,,https://www.movado.com/us/en/shop-watches/movado-bold-metals-3600296.html,Movado BOLD Metals,30 meters
stainless steel link bracelet,44,stainless steel,K1,white with crystal museum with flat dot,men's,In Stock,3600666,Swiss quartz chronograph movement,No,$995.00,,https://www.movado.com/us/en/shop-watches/movado-bold-metals-3600666.html,Movado BOLD Metals,3 ATM
black TR90 composite material and stainless steel link bracelet,43.5,black TR90 composite material and stainless steel,K1,black Museum with flat dot,men's,In Stock,3600101,Swiss quartz chronograph movement,No,$750.00,,https://www.movado.com/us/en/shop-watches/movado-bold-tr90-3600101.html,Movado BOLD TR90,30 meters
stainless steel link bracelet,42,stainless steel,sapphire,blue with printed index,men's,In Stock,3650101,Swiss quartz chronograph movement,No,$995.00,,https://www.movado.com/us/en/shop-watches/movado-heritage-series-3650101.html,Movado Heritage Series,5 ATM
stainless steel link bracelet,40,stainless steel,sapphire,blue with printed index,men's,In Stock,0607168,Swiss quartz movement,No,$895.00,,https://www.movado.com/us/en/shop-watches/movado-ultra-slim-0607168.html,Movado Ultra Slim,30 meters
,40,yellow PVD-finished stainless steel,sapphire,black Museum with flat dot,men's,In Stock,0607432,Swiss quartz movement,MOVADO.COM EXCLUSIVE,$695.00,black calfskin,https://www.movado.com/us/en/shop-watches/modern-47-0607432.html,Modern 47,30 meters
stainless steel mesh bracelet,42,stainless steel,K1,silver white Museum with flat dot,men's,In Stock,3600589,Swiss quartz movement,No,$495.00,,https://www.movado.com/us/en/shop-watches/movado-bold-thin-3600589.html,Movado BOLD Thin,3 ATM
,42,blue ion-plated stainless steel,K1,blue with printed index,men's,In Stock,3600630,Swiss quartz chronograph movement,No,$650.00,cognac Colorado leather,https://www.movado.com/us/en/shop-watches/movado-bold-thin-3600630.html,Movado BOLD Thin,3 ATM
stainless steel mesh bracelet,40,stainless steel,sapphire,black Museum with concave dot,men's,In Stock,0607219,Swiss quartz movement,No,$795.00,,https://www.movado.com/us/en/shop-watches/museum-classic-0607219.html,Museum Classic,30 meters
black ion-plated stainless steel link bracelet,42,black ion-plated stainless steel,K1,black with printed index,men's,In Stock,3600684,Swiss quartz chronograph movement,No,$895.00,,https://www.movado.com/us/en/shop-watches/movado-bold-evolution-3600684.html,Movado BOLD Evolution,3 ATM
stainless steel mesh bracelet,42,stainless steel,Gorilla Glass,,Unisex,In Stock,3660032,Smart module,No,$695.00,,https://www.movado.com/us/en/shop-watches/42mm-movado-connect-2.0-3660032.html,42mm Movado Connect 2.0,IPX8 / 1 ATM
,41,grey ion-plated stainless steel,K1,grey Museum with concave dot,men's,In Stock,3640034,Swiss quartz movement,MOVADO.COM EXCLUSIVE,$350.00,grey leather,https://www.movado.com/us/en/shop-watches/movado-face-3640034.html,Movado Face,3 ATM
navy ceramic link bracelet,36,navy blue ceramic and ion-plated pale rose gold stainless steel,K1,navy Museum with flat dot,Women's,In Stock,3600708,Swiss quartz movement,No,$650.00,,https://www.movado.com/us/en/shop-watches/movado-bold-evolution-3600708.html,Movado BOLD Evolution,3 ATM
ionic light gold plated stainless steel link bracelet,40,ionic light gold plated stainless steel,K1,light gold Museum with flat dot,men's,In Stock,3600508,Swiss quartz movement,No,$695.00,,https://www.movado.com/us/en/shop-watches/movado-bold-evolution-3600508.html,Movado BOLD Evolution,3 ATM
black ion-plated stainless steel mesh bracelet,42,black ion-plated stainless steel,Gorilla Glass,,Unisex,In Stock,3660034,Smart module,No,$695.00,,https://www.movado.com/us/en/shop-watches/42mm-movado-connect-2.0-3660034.html,42mm Movado Connect 2.0,IPX8 / 1 ATM
,42,stainless steel,Gorilla Glass,,Unisex,In Stock,3660028,Smart module,No,$550.00,black leather,https://www.movado.com/us/en/shop-watches/42mm-movado-connect-2.0-3660028.html,42mm Movado Connect 2.0,IPX8 / 1 ATM
stainless steel and blush ceramic link bracelet,36,stainless steel,K1,silver-toned metallic Museum with crystal-set dot,Women's,In Stock,3600702,Swiss quartz movement,No,$695.00,,https://www.movado.com/us/en/shop-watches/movado-bold-ceramic-3600702.html,Movado BOLD Ceramic,3 ATM
,40,stainless steel,sapphire,black Museum with concave dot,men's,In Stock,0607269,Swiss quartz movement,No,$495.00,black calfskin,https://www.movado.com/us/en/shop-watches/museum-classic-0607269.html,Museum Classic,30 meters
,41,grey ion-plated stainless steel,K1,blue Museum with concave dot,men's,In Stock,3640004,Swiss quartz movement,No,$350.00,blue leather,https://www.movado.com/us/en/shop-watches/movado-face-3640004.html,Movado Face,3 ATM
black ion-plated stainless steel link bracelet,43,black ion-plated stainless steel,K1,black Museum with concave dot,men's,In Stock,3640041,Swiss quartz chronograph movement,MOVADO.COM EXCLUSIVE,$650.00,,https://www.movado.com/us/en/shop-watches/movado-face-3640041.html,Movado Face,3 ATM
,40,stainless steel,sapphire,blue Museum with flat dot,unisex,In Stock,0607500,Swiss quartz movement,MOVADO.COM EXCLUSIVE,$595.00,blue calfskin,https://www.movado.com/us/en/shop-watches/modern-47-0607500.html,Modern 47,30 meters
,41,grey ion-plated stainless steel,K1,black Museum with concave dot,men's,In Stock,3640033,Swiss quartz movement,No,$350.00,black leather,https://www.movado.com/us/en/shop-watches/movado-face-3640033.html,Movado Face,3 ATM
,42,black TR90 composite material and stainless steel,K1,black Museum with flat dot,unisex,In Stock,3600307,Swiss quartz movement,No,$395.00,black Colorado leather,https://www.movado.com/us/en/shop-watches/movado-bold-tr90-3600307.html,Movado BOLD TR90,3 ATM
,40,blue ion-plated stainless steel,K1,blue Museum with flat dot,unisex,In Stock,3600520,Swiss quartz movement,No,$495.00,cognac leather,https://www.movado.com/us/en/shop-watches/movado-bold-evolution-3600520.html,Movado BOLD Evolution,3 ATM
pale rose gold ion-plated stainless steel mesh bracelet,34,pale rose gold ion-plated stainless steel,K1,carnation gold Museum with flat dot,Women's,In Stock,3600657,Swiss quartz movement,No,$795.00,,https://www.movado.com/us/en/shop-watches/movado-bold-shimmer-3600657.html,Movado BOLD Shimmer,3 ATM
yellow PVD-finished stainless steel with diamonds bangle bracelet,24,yellow PVD-finished stainless steel,sapphire,black Museum with concave dot,women's,In Stock,0607155,Swiss quartz movement,No,"$1,195.00",,https://www.movado.com/us/en/shop-watches/amorosa-0607155.html,Amorosa,30 meters
pale gold ion-plated stainless steel link bracelet,34,pale gold ion-plated stainless steel,K1,gold-toned metallic Museum with flat dot,Women's,In Stock,3600648,Swiss quartz movement,No,$650.00,,https://www.movado.com/us/en/shop-watches/movado-bold-evolution-3600648.html,Movado BOLD Evolution,3 ATM
black TR90 composite material and stainless steel link bracelet,42,black TR90 composite material and stainless steel,K1,black Museum with flat dot,men's,In Stock,3600099,Swiss quartz movement,No,$595.00,,https://www.movado.com/us/en/shop-watches/movado-bold-tr90-3600099.html,Movado BOLD TR90,30 meters
stainless steel and yellow PVD link bracelet,40,stainless steel and yellow PVD,sapphire,black with diamonds,men's,In Stock,0607202,Swiss quartz movement,No,"$1,295.00",,https://www.movado.com/us/en/shop-watches/museum-classic-0607202.html,Museum Classic,30 meters
,41,stainless steel,K1,white Museum with concave dot,men's,In Stock,3640001,Swiss quartz movement,No,$350.00,brown leather,https://www.movado.com/us/en/shop-watches/movado-face-3640001.html,Movado Face,3 ATM
yellow PVD-finished stainless steel link bracelet,39,yellow PVD-finished stainless steel,sapphire,gold mirror Museum with concave dot,men's,In Stock,0607180,Swiss quartz movement,No,"$1,995.00",,https://www.movado.com/us/en/shop-watches/sapphire-0607180.html,Sapphire,30 meters
,40,black PVD-finished stainless steel,sapphire,black Museum with flat dot,men's,In Stock,0607431,Swiss quartz movement,No,$695.00,black calfskin,https://www.movado.com/us/en/shop-watches/modern-47-0607431.html,Modern 47,30 meters
ionic light gold plated stainless steel mesh bracelet,40,ionic light gold plated stainless steel,K1,light gold Museum with flat dot,men's,In Stock,3600560,Swiss quartz movement,No,$595.00,,https://www.movado.com/us/en/shop-watches/movado-bold-evolution-3600560.html,Movado BOLD Evolution,3 ATM
